COUNTRY,POP_GROWTH,LAT,LNG
KAZ,2.4259084469,48,68
SVK,0.2739761571,48.6667,19.5
UKR,-0.397285236,49,32
CZE,0.3608562497,49.75,15.5
LUX,1.6038382316,49.75,6.1667
BEL,0.7627581472,50.8333,4
DEU,-0.2444650769,51,9
POL,0.0940147496,52,20
NLD,0.4937763711,52.5,5.75
BLR,-0.1737071104,53,28
IRL,0.5030673763,53,-8
GBR,0.6727809388,54,-2
DNK,0.3802942156,56,10
LTU,-0.56455657,56,24
LVA,-0.5299551061,57,25
EST,-0.0466432364,59,26
CAN,1.0872894978,60,-95
RUS,-0.0705218647,60,100
FRO,0.1705485706,62,-7
NOR,1.1635749522,62,10
SWE,0.8630805517,62,15
FIN,0.4625658622,64,26
ISL,-0.3462828415,65,-18
GRL,0.3746249312,72,-40
